HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
18500000000,330,360,7,7,0
3999999999,200,130,4,3,2
5800000000,170,141,4,3,1
3900000000,170,100,5,3,2
3100000000,180,103,3,3,2
3000000000,150,139,3,3,1
14000000000,440,393,6,6,6
13500000000,352,394,6,4,2
4000000000,200,135,4,3,2
3500000000,120,90,3,2,2
4300000000,300,180,5,4,2
3900000000,180,154,4,3,2
19000000512,800,361,5,5,5
2750000000,210,91,5,4,1
2900000000,175,134,5,2,1
9500000000,500,345,8,5,4
23000000000,700,987,4,4,4
21000000000,700,547,4,4,7
2600000000,150,90,3,2,0
4000000000,200,220,7,3,1
22900000000,700,650,3,3,2
4000000000,180,105,5,4,1
3200000000,137,86,4,2,1
2600000000,160,93,4,4,1
6300000000,250,180,4,3,1
3400000000,160,110,3,3,1
3250000000,200,90,4,3,1
3000000000,150,95,4,4,1
4100000000,180,155,4,3,1
6500000000,130,160,4,1,2
1800000000,90,100,2,1,0
3500000000,150,135,4,3,1
3000000000,200,125,2,2,1
2150000000,128,135,3,2,1
3000000000,200,90,3,2,2
3250000000,120,104,4,3,1
1750000000,85,90,2,1,1
3800000000,200,145,8,8,1
2500000000,120,100,3,2,1
4200000000,250,206,5,4,1
1100000000,70,70,2,1,0
950000000,100,60,3,1,0
4500000000,128,90,3,3,1
7000000000,150,110,4,3,1
600000000,60,30,2,2,0
2600000000,100,140,3,2,1
9000000000,450,550,10,10,3
4000000000,160,140,4,3,2
19000000000,360,606,7,4,0
10500000000,420,430,7,4,2
