HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
3500000000,235,140,5,4,1
3500000000,120,86,5,4,1
2500000000,200,100,3,3,2
3600000000,170,146,4,3,2
2400000000,147,154,3,2,1
38000000000,500,720,6,6,3
4900000000,179,158,4,4,2
3250000000,250,145,8,8,2
10000000000,600,306,6,5,3
12500000000,250,189,6,4,2
5500000000,200,150,5,3,1
6000000000,150,159,5,4,2
16000000000,300,405,6,4,0
5000000000,200,130,5,4,1
6000000000,340,173,5,4,2
5600000000,156,192,6,2,2
3750000000,300,180,5,3,2
2500000000,140,77,3,3,1
9900000000,200,340,4,4,1
3800000000,200,130,3,3,2
9500000000,300,368,4,3,3
10000000000,350,273,4,3,4
12500000000,465,350,6,6,2
2700000000,135,150,4,2,3
9800000000,400,248,5,5,3
11500000000,400,300,9,6,6
2600000000,120,142,4,2,1
3100000000,120,86,5,4,2
4650000000,320,135,6,5,1
8750000000,250,200,4,4,2
8000000000,250,300,3,3,2
750000000,80,78,3,1,0
5000000000,250,335,7,5,1
8500000000,260,256,5,5,2
28000000000,1000,775,5,3,5
9500000000,400,345,5,3,1
3800000000,200,140,4,3,1
2650000000,125,90,3,3,2
12000000000,230,244,5,4,3
3300000000,170,154,5,3,2
3900000000,260,146,3,1,1
7800000000,200,253,4,3,3
4700000000,200,150,4,4,2
7500000000,444,200,10,10,2
16000000000,400,400,5,4,4
2600000000,120,142,3,2,1
13000000000,250,322,4,3,2
4500000000,250,96,4,5,2
3850000000,200,186,3,2,2
1900000000,125,133,3,3,1
15000000000,500,384,4,3,3
8000000000,168,221,5,3,2
15000000000,480,378,5,4,1
2700000000,125,90,3,3,2
18000000000,800,361,5,4,1
6500000000,300,248,5,4,0
6500000000,200,222,4,2,1
4000000000,150,120,4,3,1
4000000000,250,135,4,5,1
2700000000,210,91,5,3,0
9000000000,470,353,9,6,3
7500000000,200,288,4,2,1
5500000000,200,454,3,4,1
23000000000,350,565,5,3,4
65000000000,300,200,5,7,4
8250000000,400,230,6,4,2
8500000000,300,205,4,4,4
10750000000,200,189,5,4,3
2458000000,165,135,4,3,1
3500000000,125,153,3,2,1
30000000000,815,312,10,7,1
5500000000,280,216,4,3,3
10000000000,300,368,4,4,4
25900000000,600,1039,7,5,10
2999000000,102,102,3,3,2
5899000000,350,130,6,6,3
3245000000,120,152,4,4,4
5750000128,320,183,6,3,3
6500000000,300,213,5,4,4
6500000000,220,181,8,6,1
4800000000,250,170,4,4,3
16000000000,500,420,4,4,4
13000000000,380,312,4,3,2
7000000000,180,283,4,3,2
2800000000,250,90,4,3,2
1850000000,80,90,3,2,0
20999999488,613,613,9,4,2
4300000000,117,205,4,3,3
4300000000,200,145,3,3,2
5500000000,300,266,6,4,4
12999000000,400,429,9,5,5
2300000000,160,135,4,3,1
7100000000,200,256,5,3,3
7000000000,350,180,3,3,0
1500000000,200,170,7,2,0
1500000000,100,80,4,2,0
3500000000,150,135,4,2,0
4000000000,150,100,3,3,1
4000000000,144,126,4,2,3
3750000000,150,135,3,2,1
4000000000,150,140,4,2,2
6000000000,450,260,7,4,1
9200000000,650,695,9,6,1
7500000000,180,253,3,2,1
14250000000,350,393,5,4,1
4000000000,216,135,5,4,2
5850000000,220,138,4,3,2
2700000000,160,90,3,3,1
3250000000,200,157,7,3,1
9800000000,350,247,4,3,2
12000000000,350,237,4,3,2
18500000000,300,520,5,4,2
14500000000,500,307,10,7,2
8200000000,300,260,4,4,3
2700000000,120,92,3,3,2
2500000000,121,100,3,2,2
9900000000,350,250,5,3,2
4200000000,285,160,5,6,1
10000000000,353,535,10,10,7
5000000000,220,217,3,3,1
4300000000,250,90,4,4,2
3000000000,250,125,3,2,1
3000000000,130,170,4,3,1
3400000000,170,110,4,4,2
3200000000,150,90,3,2,1
3000000000,150,110,4,3,2
3200000000,210,91,5,3,1
3300000000,150,90,3,2,1
5700000000,250,190,4,3,1
2100000000,188,125,6,4,1
4000000000,89,175,3,3,2
2200000000,120,220,5,3,1
8500000000,234,300,5,4,1
